observation_id,act,observation_kind,display_name,observed_date,date_precision,expedition_id,observer,evidence_class,geometry_provenance,lon,lat,confidence,review_state,later_status,source_id,source_locator,notes
ant-obs-cook-farthest-south,act_iv,position,"Farthest south, Resolution",1774-01-30,day,ant-exp-cook-second,James Cook,instrumental_fix,transcribed_from_coordinates,-106.9,-71.17,medium,raw,confirmed,ant-src-beaglehole-journals-ii,pending,"Recorded from the general literature. The figure is stable across accounts but has not been read in the edition, so it stays raw."
ant-obs-1820-sighting,act_v,sighting,"Reported sighting of an ice front, Vostok and Mirny",1820-01-27,day,ant-exp-bellingshausen,Fabian Gottlieb von Bellingshausen,reported_not_observed,transcribed_from_coordinates,-2.23,-69.35,contested,raw,unresolved,ant-src-debenham-bellingshausen,pending,"Filed as reported_not_observed rather than direct_observation on purpose: what was seen, and whether it counts as a sighting of the mainland, is the disputed question the terminology table exists to keep open. The position is approximate and taken from the general literature."
ant-obs-endurance-beset,act_viii,position,Endurance beset in the pack,1915-01-19,day,ant-exp-ite,Frank Arthur Worsley,dead_reckoning,editorial_interpolation,-31.5,-76.57,low,raw,unresolved,ant-src-shackleton-south-1919,pending,"Approximate, recorded from the general literature and unverified. Whether the position was fixed or reckoned is unknown until the navigational records are found."
ant-obs-endurance-fix,act_viii,reported_sinking_position,Position recorded for the loss of Endurance,1915-11-21,day,ant-exp-ite,Frank Arthur Worsley,instrumental_fix,transcribed_from_coordinates,-52.4417,-68.6583,low,raw,unresolved,ant-src-worsley-endurance-1931,pending,"The figure usually given as 68 degrees 39 minutes 30 seconds south, 52 degrees 26 minutes 30 seconds west. It is recorded at the precision the literature reports and at low confidence, because the whole point of the Coda is that this coordinate is a calculated result with an error nobody here has yet established."
ant-obs-bransfield-trinity,act_v,sighting,"Land sighted from Williams, named Trinity Land",1820-01-30,day,ant-exp-bransfield,Edward Bransfield,reported_not_observed,transcribed_from_coordinates,-60.0,-63.5,contested,raw,unresolved,ant-src-gurney-below-convergence,pending,"One of the three 1820 claims. Position approximate. Filed as a report rather than an observation because what was seen, and whether it was the mainland or an island of the peninsula group, is the argument. Recorded from the general literature during compilation and not yet checked against an edition, so the row stays raw."
ant-obs-palmer-hero,act_v,sighting,Land sighted from Hero,1820-11,month,ant-exp-palmer,Nathaniel Palmer,reported_not_observed,transcribed_from_coordinates,-60.5,-63.2,contested,raw,unresolved,ant-src-gurney-below-convergence,pending,"The American claim, resting on a sealing log. Recorded to the month because the day is not established here. Recorded from the general literature during compilation and not yet checked against an edition, so the row stays raw."
ant-obs-weddell-farthest-south,act_v,position,Farthest south reached by Jane,1823-02-20,day,ant-exp-weddell,James Weddell,instrumental_fix,transcribed_from_coordinates,-34.28,-74.25,low,raw,confirmed,ant-src-weddell-voyage-1825,pending,"An exceptional open-water penetration in an exceptional ice year, which later voyages could not repeat. The date and position are approximate. Recorded from the general literature during compilation and not yet checked against an edition, so the row stays raw."
ant-obs-biscoe-enderby,act_v,sighting,Land sighted and named Enderby Land,1831-02,month,ant-exp-biscoe,John Biscoe,reported_not_observed,transcribed_from_coordinates,50.0,-66.5,low,raw,unresolved,ant-src-headland-chronology,pending,"A commercial voyage producing coast. Position approximate to the region rather than to a landfall. Recorded from the general literature during compilation and not yet checked against an edition, so the row stays raw."
ant-obs-balleny-islands,act_v,sighting,"Islands sighted, later named the Balleny Islands",1839-02,month,ant-exp-balleny,John Balleny,reported_not_observed,transcribed_from_coordinates,163.0,-66.9,low,raw,confirmed,ant-src-headland-chronology,pending,"Named on both cumulative ice charts for the 1839 season. Recorded from the general literature during compilation and not yet checked against an edition, so the row stays raw."
ant-obs-durville-adelie,act_v,sighting,Coast sighted and named Terre Adelie,1840-01-20,day,ant-exp-durville,Jules Sebastien Cesar Dumont d'Urville,reported_not_observed,transcribed_from_coordinates,140.0,-66.6,low,raw,confirmed,ant-src-durville-voyage,pending,"One of three expeditions on overlapping coast in the same weeks. Recorded from the general literature during compilation and not yet checked against an edition, so the row stays raw."
