source_id,act,claim_family,source_kind,short_title,title,creator,date_label,year,publication_context,repository,repository_url,persistent_id,edition_state,locator,rights_status,rights_basis_url,verification_state,review_status,role_in_essay,notes
ant-src-hiatt-terra-incognita,act_i,terra_australis_theory,scholarly_monograph,"Hiatt, Terra Incognita",Terra Incognita: Mapping the Antipodes before 1600,Alfred Hiatt,2008,2008,British Library / University of Chicago Press,,https://press.uchicago.edu/,,First edition,pending,in_copyright,https://press.uchicago.edu/,unverified,candidate,Establishes that the antipodal south is an argument before it is a coastline.,The anchor for Act I's claim that the southern continent is inherited reasoning rather than report. Not yet read against the page for the specific propositions the act will make.
ant-src-stallard-antipodes,act_i,terra_australis_theory,scholarly_monograph,"Stallard, Antipodes",Antipodes: In Search of the Southern Continent,Avan Judd Stallard,2016,2016,Monash University Publishing,,https://publishing.monash.edu/,,First edition,pending,in_copyright,https://publishing.monash.edu/,unverified,candidate,"The historiography of the southern continent as an idea, including its persistence after contrary evidence.",Directly useful for the high-risk claim about what early modern cartographers can be said to have believed.
ant-src-eisler-furthest-shore,act_i,terra_australis_theory,scholarly_monograph,"Eisler, The Furthest Shore",The Furthest Shore: Images of Terra Australis from the Middle Ages to Captain Cook,William Eisler,1995,1995,Cambridge University Press,,https://www.cambridge.org/,,First edition,pending,in_copyright,https://www.cambridge.org/,unverified,candidate,Bridges Act I to Act IV: the same imagined shore from cosmography through to Cook.,"Covers the whole arc the essay's first half needs, which makes it the source most worth reading first."
ant-src-hoc-vol3,act_ii,source_inheritance,reference_work,History of Cartography III,"The History of Cartography, Volume 3: Cartography in the European Renaissance",David Woodward (ed.),2007,2007,University of Chicago Press,,https://www.press.uchicago.edu/books/HOC/index.html,,"Volume 3, two parts",pending,no_known_restrictions,https://www.press.uchicago.edu/books/HOC/index.html,unverified,candidate,"The authority on copying, plate reuse and the mechanics by which a coastline is inherited.",Open access via the publisher's HOC pages. The chapters relevant to Act II have not yet been identified by number.
ant-src-brotton-trading-territories,act_ii,source_inheritance,scholarly_monograph,"Brotton, Trading Territories",Trading Territories: Mapping the Early Modern World,Jerry Brotton,1997,1997,Reaktion Books,,https://www.reaktionbooks.co.uk/,,First edition,pending,in_copyright,https://www.reaktionbooks.co.uk/,unverified,candidate,Why a printed coastline carries commercial and political authority independent of its evidence.,Supporting rather than load-bearing; drop it if Act II can be argued from HOC III alone.
ant-src-coronelli-epitome-1693,act_iii,coronelli,printed_text,"Coronelli, Epitome Cosmografica","Epitome cosmografica, o compendiosa introduttione all'astronomia, geografia, & idrografia",Vincenzo Maria Coronelli,1693,1693,"Cologne [i.e. Venice], at the request of Andrea Poletti",Internet Archive (digitised copy),https://archive.org/,https://archive.org/details/epitomecosmograf00coro_0,1693; copy and issue not yet established,pending,public_domain_text,https://archive.org/details/epitomecosmograf00coro_0,partially_verified,candidate,"The textual half of Act III, including the section on the polar lands.","A digitised copy was located during this audit but the volume has not been opened. The pages carrying 'Terre Polari, Artiche, ed Antartiche' are untranscribed, so no statement about what Coronelli writes there may yet be made."
ant-src-coronelli-atlante-veneto,act_iii,coronelli,printed_text,"Coronelli, Atlante Veneto",Atlante Veneto,Vincenzo Maria Coronelli,1690-1701,1690,"Venice; thirteen folio volumes, conceived as a continuation of the Blaeu Atlas Maior",,https://www.davidrumsey.com/,,Which volumes and states carry the polar material is not established,pending,public_domain_text,https://www.davidrumsey.com/,unverified,candidate,The cartographic half of Act III and the publication context of the polar plates.,"Recorded as a work, not as a copy. Act III cannot cite the Atlante Veneto until a specific volume, plate and holding copy are named."
ant-src-milanesi-coronelli,act_iii,coronelli,scholarly_monograph,"Milanesi, Coronelli",Vincenzo Coronelli Cosmographer (1650-1718),Marica Milanesi,2016,2016,"Brepols, Terrarum Orbis series",,https://www.brepols.net/,,First edition,pending,in_copyright,https://www.brepols.net/,unverified,candidate,The scholarly control on every claim Act III makes about Coronelli's method and sources.,Act III's highest-priority acquisition. Without it the act risks reading Coronelli's plates as if they were his opinions.
ant-src-cook-voyage-1777,act_iv,cook_absence,expedition_narrative,"Cook, Voyage towards the South Pole",A Voyage towards the South Pole and Round the World,James Cook,1777,1777,"London: W. Strahan and T. Cadell, two volumes",,https://www.rmg.co.uk/,,"First edition, 1777",pending,public_domain_text,https://www.rmg.co.uk/,unverified,candidate,The published voyage whose charts and text turn a failure to find land into a bounded blank.,The official account that carries the 1777 southern-hemisphere chart. No page locators are transcribed.
ant-src-beaglehole-journals-ii,act_iv,cook_absence,critical_edition,"Beaglehole, Journals II","The Journals of Captain James Cook on his Voyages of Discovery, Volume II: The Voyage of the Resolution and Adventure, 1772-1775",J. C. Beaglehole (ed.),1961,1961,Cambridge: Hakluyt Society,,https://www.hakluyt.com/,,"Hakluyt Society, Extra Series",pending,in_copyright,https://www.hakluyt.com/,unverified,candidate,The scholarly edition against which any quotation from the second voyage must be checked.,"Act IV should argue from Beaglehole rather than from the 1777 publication where the two differ, and should say so where it matters."
