name_use_id,lexical_form,source_id,institution,referent_kind,referent_place_id,referent_label,period_from,period_to,date_precision,fate_class,locator_type,locator,confidence,review_state,normalization_method,reviewer,review_date,note
nmu-dacia-province,Dacia,src-ptolemy-geographia,Roman imperial administration,region,,Trajanic province north of the Danube,106,271,year_range,applicatio,section,Geographia III.8,medium,normalized,llm_assisted,,,The province Trajan made in 106. Ptolemy's book and chapter are the locator; the chapter has not been read against a witness for this corpus.
nmu-dacia-aureliana,Dacia,src-notitia-dignitatum,Roman imperial administration,polity,,Dacia Aureliana south of the Danube,283,602,year_range,applicatio,section,Oriens: dux Daciae ripensis,medium,normalized,llm_assisted,,,"After Aurelian withdrew, the name was carried south of the Danube and applied to new provinces. The register attests the name in official use; the exact chapter number is not transcribed, so the locator names the division rather than the folio."
nmu-dacia-scandinavia,Dacia,src-hereford-mappa,Latin geographical usage,region,,Denmark and the Scandinavian north,1300,1300,circa,translatio,whole_work,The map carries no folio or sheet division; the single membrane is the maximum precision available,medium,normalized,llm_assisted,,,"Medieval Latin writers used Dacia for Denmark, and the Hereford map is one witness to the usage. This is the coincidence the trench exists to adjudicate."
nmu-dacia-ecclesiastical,Dacia,,"Ordo Praedicatorum, Provincia Dacie",ecclesiastical_province,,The Danish church province,1228,1536,year_range,translatio,none,pending,medium,raw,llm_assisted,,,"A use nobody needed to write down for it to be real: the Dominican province of Dacia covered Denmark, Sweden and Norway from its erection in 1228 until the Reformation dissolved it. The institution is the evidence; a bibliographic anchor is outstanding."
nmu-dacia-antiquarian,Dacia,src-ortelius-parergon,Antiquarian scholarship,region,,The ancient province restored on a modern sheet,1595,1595,exact_year,restitutio,sheet,Parergon: Daciarum Moesiarumque vetus descriptio,medium,normalized,llm_assisted,,,Ortelius restores the ancient province in the historical supplement to the Theatrum. The sheet is named; the impression has not been examined.
nmu-dacia-marque,Dacia,,"Uzina de Autoturisme Pitesti, later Automobile Dacia SA",product,,The Romanian automobile marque,1966,,terminus_post_quem,commercium,none,pending,medium,raw,llm_assisted,,,"The marque founded at Colibasi in 1966. A trademark is a use of a name by an institution, and needs no witness to be one."
nmu-dacia-reception,Dacia,,Popular and protochronist reception,region,,Territories claimed on reception maps,1970,,terminus_post_quem,inventio,none,pending,low,raw,llm_assisted,,,"Dacia as an identity claim rather than a territory. Left deliberately low-confidence and open-ended: Trench F is where this is argued, and this row exists so the essay can point at it without absorbing it."
nmu-napoca-roman,Napoca,src-tabula-peutingeriana,Roman imperial administration,settlement,plc-napoca,The Roman municipium,106,271,year_range,applicatio,section,Segmentum VII: the Porolissum road,medium,normalized,llm_assisted,,,A station on the road to Porolissum.
nmu-napoca-restored,Napoca,,Consiliul de Stat al Republicii Socialiste Romania,settlement,plc-napoca,Cluj-Napoca,1974,,terminus_post_quem,restitutio,none,pending,high,raw,llm_assisted,,,"Re-attached by decree in 1974. The instrument is administrative, and it is the whole reason the name is there."
nmu-dacia-diocese,Dacia,src-notitia-dignitatum,Praetorian prefecture of Illyricum,region,,"Dioecesis Daciae, the civil diocese south of the Danube",337,602,year_range,applicatio,section,Oriens: dioecesis Daciae,medium,normalized,llm_assisted,,,"A different administrative level from the province of the same name, and the clearest case that the referent is not the word: one Dacia contains the other, and neither is Trajan's."
nmu-dacia-coin-legend,Dacia,src-ric-dacia-types,The imperial mint,region,,DACIA as a personification struck on imperial coinage,106,271,year_range,applicatio,section,Reverse types legended DACIA and DACIA FELIX,medium,normalized,llm_assisted,,,"The state naming its own province on the money, which is the use with the widest circulation and the shortest text. No specimen has been examined and no volume or catalogue number is transcribed."
nmu-dacia-marque-renault,Dacia,,Renault,product,,Dacia as a Renault marque,1999,,terminus_post_quem,commercium,none,pending,medium,raw,llm_assisted,,,"The marque under new ownership from 1999. Kept as its own use because the institution exercising the name changed, and because it is the case where an unbroken line is obvious and still cannot be recorded as continuity: no attestation has been cited, so the edge to it is a derivation. It stays raw because the locator is outstanding: the instrument that would supply one is a corporate record nobody has cited."
